	iata	icao	latitude	longitude	pm10
2113	CAN	ZGGG	23.3924	113.299	38.67
2114	CDE	ZBCD	41.1225	118.074	1.59
2115	YNZ	ZSYN	33.4258	120.203	44.69
2116	CGD	ZGCD	28.9189	111.64	188.14
2117	YNT	ZSYT	37.6572	120.987	4.9
2118	CGO	ZHCC	34.5197	113.841	249.86
2119	CGQ	ZYCC	43.9962	125.685	26.32
2120	YNJ	ZYYJ	42.8828	129.451	9.3
2121	CHG	ZYCY	41.5381	120.435	6.12
2122	LUM	ZPMS	24.4011	98.5317	27.89
2123	CIF	ZBCF	42.235	118.908	1.93
2124	CIH	ZBCZ	36.2475	113.126	18.31
2125	YLN	ZYYL	46.317	129.567	17.47
2126	CKG	ZUCK	29.7192	106.642	155.72
2127	YKH	ZYYK	40.5425	122.359	19.24
2128	YIW	ZSYW	29.3447	120.032	87.66
2129	YIN	ZWYN	43.9558	81.3303	53.32
2130	YIH	ZHYC	30.5565	111.48	217.05
2131	AHJ	ZUHY	32.5315	102.352	2.39
2132	YIE	ZBES	47.3106	119.912	0.76
2133	YIC	ZSYC	27.8025	114.306	63.69
2134	CNI	ZYCH	39.2667	122.667	7.13
2135	CSX	ZGHA	28.1892	113.22	134.28
2136	CTU	ZUUU	30.5785	103.947	233.66
2137	YCU	ZBYC	35.1164	111.031	34.95
2138	YBP	ZUYB	28.8006	104.545	150.87
2139	CZX	ZSCG	31.9197	119.779	70.07
2140	DAT	ZBDT	40.0603	113.482	18.39
2141	DAX	ZUDX	31.1302	107.429	208.41
2142	DBC		45.5053	123.02	74.75
2143	XUZ	ZSXZ	34.0591	117.555	82.19
2144	DCY	ZUDC	29.3231	100.053	4.78
2145	DDG	ZYDD	40.0247	124.286	35.62
2146	XNT	ZBXT	36.8831	114.429	174.78
2147	XNN	ZLXN	36.5275	102.043	82.51
2148	XMN	ZSAM	24.544	118.128	32.48
2149	XIY	ZLXY	34.4471	108.752	89.48
2150	AKA	ZLAK	32.7081	108.931	165.43
2151	DIG	ZPDQ	27.7936	99.6772	7.02
2152	XIN	ZGXN	24.1492	115.758	28.76
2153	XIL	ZBXH	43.9156	115.964	0.67
2154	LXA	ZULS	29.2978	90.9119	12.48
2155	XIC	ZUXC	27.9891	102.184	35.95
2156	XFN	ZHXF	32.1506	112.291	129.1
2157	DLC	ZYTL	38.9657	121.539	3.05
2158	XEN	ZYXC	40.5803	120.698	13.6
2159	DLU	ZPDL	25.6494	100.319	17.86
2160	LYA	ZHLY	34.7411	112.388	34.13
2161	DNH	ZLDH	40.1611	94.8092	121.09
2162	WZQ		41.4596	108.535	37.58
2163	WXN	ZUWX	30.8017	108.433	146.42
2164	AKU	ZWAK	41.2625	80.2917	218.2
2165	WUZ	ZGWZ	23.4567	111.248	61.89
2166	LYG	ZSLG	34.5717	118.874	24.27
2167	LYI	ZSLY	35.0461	118.412	27.64
2168	WUX	ZSWX	31.4944	120.429	90.65
2169	WUT	ZBXZ	38.5975	112.969	31.9
2170	WUS	ZSWY	27.7019	118.001	62.42
2171	WUH	ZHHH	30.7838	114.208	96.4
2172	WUA	ZBUH	39.7934	106.799	78.1
2173	DOY	ZSDY	37.5086	118.788	36.75
2174	DQA	ZYDQ	46.7464	125.141	37.01
2175	WNZ	ZSWZ	27.9122	120.852	85.38
2176	DSN	ZBDS	39.49	109.861	36.69
2177	WNH	ZPWS	23.5583	104.326	62.08
2178	DTU		48.445	126.133	5.69
2179	LZH	ZGZH	24.2075	109.391	92.3
2180	LZO	ZULZ	29.03	105.47	154.63
2181	WHA	ZSWA	31.3906	118.409	159.3
2182	WGN	ZGSY	26.802	110.642	102.5
2183	LZY	ZUNZ	29.3033	94.3353	4.65
2184	WEH	ZSWH	37.1871	122.229	13.44
2185	WEF	ZSWF	36.6467	119.119	33.93
2186	DYG	ZGDY	29.1028	110.443	159.55
2187	WDS	ZHSY	32.5917	110.908	160.24
2188	DZU	ZUDZ	29.6362	105.774	130.45
2189	TEN	ZUTR	27.8833	109.309	121.88
2190	TCZ	ZUTC	24.9381	98.4858	19.6
2191	TCG	ZWTC	46.6725	83.3408	11.61
2192	ENH	ZHES	30.3203	109.485	87.42
2193	GHN	ZUGH	30.9485	104.33	251.28
2194	TAO	ZSQD	36.2661	120.374	26.32
2195	TYN	ZBYN	37.7469	112.628	37.9
2196	SZX	ZGSZ	22.6393	113.811	56.2
2197	SZV	ZSSZ	31.2631	120.401	71.73
2198	SYX	ZJSY	18.3029	109.412	19.04
2199	SYM	ZPSM	22.7933	100.959	8.48
2200	GMQ	ZLGL	34.4181	100.301	5.51
2201	SXJ	ZWSS	42.9117	90.2475	92.66
2202	AOG	ZYAS	41.1053	122.854	116.13
2203	TXN	ZSTX	29.7333	118.256	91.75
2204	SWA	ZGOW	23.552	116.503	40.43
2205	GOQ	ZLGM	36.4006	94.7861	42.32
2206	TVS	ZBTS	39.7178	118.003	8.81
2207	SQJ		26.4263	117.834	25.61
2208	SQD	ZSSR	28.3797	117.964	109.97
2209	UYN	ZLYL	38.3597	109.591	54.52
2210	GXH	ZLXH	34.8105	102.645	4.37
2211	URC	ZWWW	43.9071	87.4742	212.73
2212	GYS	ZUGU	32.3911	105.702	124.44
2213	GYU	ZLGY	36.0789	106.217	131.78
2214	HAK	ZJHK	19.9349	110.459	56.57
2215	HCJ	ZGHC	24.805	107.7	79.33
2216	HDG	ZBHD	36.5258	114.426	290.67
2217	HEK	ZYHE	50.1716	127.309	1.02
2218	HET	ZBHH	40.8514	111.824	24.35
2219	AQG	ZSAQ	30.5822	117.05	78.36
2220	HFE	ZSOF	31.78	117.298	189.16
2221	HGH	ZSHC	30.2295	120.434	75.89
2222	SJW	ZBSJ	38.2807	114.697	42.09
2223	HIA	ZSSH	33.7908	119.125	62.86
2224	HJJ	ZGCJ	27.4411	109.7	103.69
2225	SIA	ZLSN	34.3767	109.12	90.06
2226	SHS	ZHSS	30.3243	112.28	185.37
2227	HLD	ZBLA	49.205	119.825	2.8
2228	HLH	ZBUL	46.1953	122.008	2.21
2229	SHF	ZWHZ	44.2421	85.8905	151.28
2230	SHE	ZYTX	41.6398	123.483	354.19
2231	TSN	ZBTJ	39.1244	117.346	24.3
2232	SHA	ZSSS	31.1979	121.336	94.3
2233	HMI	ZWHM	42.8414	93.6692	29.91
2234	HNY	ZGHY	26.9053	112.628	86.95
2235	HPG	ZHSN	31.626	110.34	152.8
2236	HRB	ZYHB	45.6234	126.25	28.48
2237	HSC		24.9786	113.421	60.87
2238	HSJ		34.8422	113.274	120.12
2239	HSN	ZSZS	29.9342	122.362	27.71
2240	HTN	ZWTN	37.0385	79.8649	396.91
2241	HTT		38.202	90.8415	37.77
2242	RUG	ZSRG	32.2579	120.502	57.43
2243	HUO	ZBHZ	45.4872	119.407	0.63
2244	HUZ	ZGHZ	23.05	114.6	35.5
2245	RQA	ZWRQ	38.9747	88.0083	274.32
2246	HXD	ZLDL	37.1253	97.2687	35.48
2247	ENY	ZLYA	36.6369	109.554	61.76
2248	HYN	ZSLQ	28.5622	121.429	77.62
2249	HZG	ZLHZ	33.1341	107.206	140.89
2250	HZH	ZUNP	26.3222	109.15	109.07
2251	MDG	ZYMD	44.5241	129.569	10.12
2252	RLK	ZBYZ	40.926	107.743	31.35
2253	RKZ	ZURK	29.3519	89.3114	6.45
2254	RIZ		35.405	119.324	20.58
2255	RHT		39.225	101.546	134.14
2256	EJN		42.0155	101.001	71.1
2257	INC	ZLIC	38.3228	106.393	59.39
2258	IQM	ZWCM	38.2336	85.4656	285.37
2259	IQN	ZLQY	35.7997	107.603	99.33
2260	QSZ		38.2811	77.0752	258.43
2261	PZI	ZUZH	26.54	101.799	63.73
2262	PVG	ZSPD	31.1434	121.805	31.78
2263	JDZ	ZSJD	29.3386	117.176	112.59
2264	JGD	ZYJD	50.3714	124.118	0.63
2265	JGN	ZLJQ	39.8569	98.3414	142.67
2266	JGS	ZSJA	26.8569	114.737	60.28
2267	AVA	ZUAS	26.2606	105.873	77.18
2268	JHG	ZPJH	21.9739	100.76	19.39
2269	JIC	ZLJC	38.5422	102.348	169.18
2270	MIG	ZUMY	31.4281	104.741	172.08
2271	JIL	ZYJL	44.0022	126.396	14.74
2272	JIQ	ZUQJ	29.5133	108.831	80.16
2273	JIU	ZSJJ	29.4769	115.801	81.34
2274	JJN	ZSQZ	24.7964	118.59	38.21
2275	JMU	ZYJM	46.8434	130.465	19.92
2276	JNG	ZLJN	35.2928	116.347	127.49
2277	JNZ	ZYJZ	41.1014	121.062	8.7
2278	JSJ	ZYJS	47.11	132.66	12.42
2279	JUH		30.7403	117.686	129.02
2280	AXF		38.7483	105.589	76.6
2281	JUZ	ZSJU	28.9658	118.899	113.62
2282	JXA	ZYJX	45.293	131.193	21.31
2283	JZH	ZUJZ	32.8533	103.682	3.06
2284	PNJ		42.4464	119.574	1.81
2285	TNH	ZYTN	42.2539	125.703	27.94
2286	KCA	ZWKC	41.6779	82.8729	271.01
2287	TNA	ZSJN	36.8572	117.216	136.5
2288	KGT	ZUKD	30.1575	101.735	1.83
2289	FOC	ZSFZ	25.9351	119.663	44.45
2290	KHG	ZWSH	39.5429	76.02	326.22
2291	KHN	ZSCN	28.865	115.9	114.92
2292	KJH		26.972	107.988	107.81
2293	CQW	ZUWL	29.4658	107.692	143.58
2294	DZH	ZUDA	31.04	107.44	208.41
2295	EHU	ZHEC	30.3429	115.03	210.93
2296	HBQ	ZLHB	38.012	100.644	12.09
2297	HCZ	ZGCZ	25.7506	112.846	59.67
2298	HZA	ZSHZ	35.2133	115.737	120.96
2299	WHA	ZSWA	31.1044	118.667	85.25
2300	WSK	ZUWS	31.064	109.706	137.78
2301	XAI	ZHXY	32.5414	114.078	137.39
2302	YYA	ZGYY	29.314	113.278	208.4
2303	PEK	ZBAA	40.0725	116.598	9.09
2304	HAY	SKAG	8.24722	-73.5819	6.18
2305	MQR		2.64955	-78.3361	1.62
2306	GRA		8.34197	-73.7057	4.28
2307	SRO		2.21667	-75.25	3.0
2308	IGO	SKIG	7.68038	-76.6865	1.19
2309	PCC		1.91667	-75.1667	0.71
2310	BSC	SKBS	6.20292	-77.3947	2.34
2311	SJH		10.7667	-73.0167	6.66
2312	DZI		10.0966	-73.2337	4.9
2313	PRE		5.73333	-71.9833	1.11
2314	MFB		0.633333	-69.75	0.5
2315	SJG		4.65	-73.3333	5.43
2316	TME	SKTM	6.45108	-71.7603	0.7
2317	MND		4.51667	-73.2833	3.79
2318	AYA		8.3	-75.15	2.11
2319	MOY		4.90693	-72.8948	4.13
2320	LQM	SKLG	-0.182278	-74.7708	0.51
2321	UNC		8.03333	-77.0833	0.77
2322	AYC		8.6	-73.6167	4.47
2323	ULS		8.65	-76.75	2.02
2324	AYG	SKYA	1.54417	-73.9333	0.53
2325	SJR		8.76667	-76.5333	2.68
2326	CPL	SKHA	3.717	-75.467	17.27
2327	VAB		1.11667	-70.75	0.5
2328	TBD	SKMB	2.767	-77.667	3.15
2329	SMC		8.15	-77.05	0.77
2330	SOX	SKSO	5.67732	-72.9703	8.75
2331	NPU		8.28597	-76.3804	1.94
2332	MFS	SKMF	1.35	-71.9444	0.51
2333	PLA		3.3	-75.7	2.0
2334	PLT	SKPL	9.8	-74.7833	11.6
2335	PLC		8.4	-75.6	3.96
2336	MGN	SKMG	9.28474	-74.8461	7.64
2337	TAU	SKTA	5.01281	-72.7424	1.88
2338	GPI	SKGP	2.57013	-77.8986	2.94
2339	SCA		8.5	-76.175	2.67
2340	PEI	SKPE	4.81267	-75.7395	110.15
2341	NUH		5.65	-72.2	1.3
2342	BGA	SKBG	7.1265	-73.1848	24.28
2343	SQB	SKGO	4.40833	-75.0217	80.88
2344	CVE	SKCV	9.40092	-75.6913	10.65
2345	PYN		1.8	-78.1667	6.49
2346	LRI		9.03333	-75.7	9.53
2347	NAD		2.56667	-67.5833	0.5
2348	ARF		0.533333	-70.1333	0.51
2349	SSD	SCSF	-32.7458	-70.705	28.37
2350	LMX		3.05	-77.55	1.77
2351	EYP	SKYP	5.31911	-72.384	3.96
2352	JUO	SKJU	6.51667	-76.6	1.05
2353	ARO		8.85705	-76.4244	3.0
2354	ACD	SKAD	8.51667	-77.3	1.05
2355	CUO	SKCR	1.0136	-71.2961	0.5
2356	ACL		4.75361	-73.0028	3.68
2357	ACM		-2.14544	-71.7581	0.5
2358	MVP	SKMU	1.25366	-70.2339	0.51
2359	NVA	SKNV	2.95015	-75.294	8.52
2360	ACR	SKAC	-0.5833	-72.4083	0.5
2361	CUI		4.66667	-72	1.75
2362	ELJ	SVWX	2	-74.1333	0.55
2363	ARQ	SKAT	7.02106	-71.3889	6.49
2364	URI	SKUB	3.21667	-74.4	3.51
2365	TTM		5.72448	-72.103	1.3
2366	ISD		2.44583	-77.9818	2.94
2367	MCJ	SKLM	11.2325	-72.4901	9.43
2368	TRB	SKTU	8.07453	-76.7415	1.33
2369	PYA	SKVL	5.93904	-74.457	4.22
2370	ECO		-1.75333	-73.2047	0.5
2371	CAQ	SKCU	7.96847	-75.1985	2.18
2372	ADN	SKAN	5.69764	-75.8804	3.45
2373	AZT		6.81667	-73.2833	1.95
2374	BHF	SKCP	6.55	-77.3263	2.77
2375	BAC		4.58333	-72.9667	2.22
2376	ECR	SKEH	2.44944	-78.0942	2.0
2377	PSO	SKPS	1.39625	-77.2915	19.8
2378	ADZ	SKSP	12.5836	-81.7112	11.56
2379	VGZ	SKVG	0.978767	-76.6056	8.84
2380	TQS	SKTQ	0.7459	-75.234	0.51
2381	PDA	SKPD	3.85353	-67.9062	0.75
2382	CQT		2.03333	-74.2167	0.55
2383	CZU	SKCZ	9.33274	-75.2856	9.45
2384	PZA	SKPZ	5.87615	-71.8866	0.65
2385	BOG	SKBO	4.70159	-74.1469	25.48
2386	SQE		5.40018	-71.7001	2.17
2387	SVI	SKSV	2.15217	-74.7663	0.8
2388	GIR	SKGI	4.27624	-74.7967	4.15
2389	BAQ	SKBQ	10.8896	-74.7808	12.07
2390	OCV	SKOC	8.31506	-73.3583	5.18
2391	AFI	SKAM	6.91667	-75.0667	3.79
2392	EJA	SKEJ	7.02433	-73.8068	3.21
2393	BUN	SKBU	3.81963	-76.9898	0.9
2394	MTR	SKMR	8.82374	-75.8258	5.43
2395	CRC	SKGO	4.75818	-75.9557	55.18
2396	MHF		1.75	-69.9167	0.5
2397	MDE	SKRG	6.16454	-75.4231	27.83
2398	COG	SKCD	5.08333	-76.7	0.64
2399	SMR	SKSM	11.1196	-74.2306	11.62
2400	RAV	SKCN	6.31684	-70.2107	3.04
2401	CTG	SKCG	10.4424	-75.513	7.31
2402	EUO		4.38333	-73.2	3.2
2403	MIX		-1.13333	-70.25	0.5
2404	RON	SKPA	6.283	-71.083	2.36
2405	HTZ	SKHC	6.15	-71.75	0.63
2406	RVE	SKSA	6.95187	-71.8572	1.16
2407	CCO	SKCI	4.56417	-71.3364	0.67
2408	NQU	SKNQ	5.6964	-77.2806	0.71
2409	PVA	SKPV	13.3569	-81.3583	13.41
2410	MTB	SKML	7.97174	-75.4325	1.78
2411	AUC	SKUC	7.06888	-70.7369	3.77
2412	CSR		5.83333	-68.1333	0.94
2413	LCR		-0.733333	-73.0167	0.5
2414	PPN	SKPP	2.4544	-76.6093	1.51
2415	SSL	SKSL	5.1309	-70.8682	0.97
2416	TCD	SKRA	-2.89472	-69.7472	0.5
2417	RCH	SKRH	11.5262	-72.926	10.73
2418	GMC		3.62918	-70.3233	0.5
2419	PAL	SKPQ	5.48361	-74.6574	2.77
2420	TIB	SKTB	8.63152	-72.7304	4.01
2421	IBE	SKIB	4.42161	-75.1333	80.88
2422	LET	SKLT	-4.19355	-69.9432	0.51
2423	PBE	SKPR	6.46034	-74.4105	2.29
2424	FLA	SKFL	1.58919	-75.5644	2.07
2425	HRR		3.21667	-75.85	4.55
2426	GAA		9.04465	-73.0973	1.99
2427	SNT	SKRU	7.38322	-73.5054	2.68
2428	IPI	SKIP	0.861925	-77.6718	8.45
2429	LGT	SKGA	4.54972	-70.925	0.53
2430	CPB	SKCA	8.63333	-77.35	1.47
2431	IVO		10.0167	-74.6833	12.64
2432	URR	SKUR	6.32883	-76.1425	1.59
2433	PCR	SKPC	6.18472	-67.4932	1.87
2434	CJD		2.06667	-74.5833	0.59
2435	TDA	SKTD	5.43278	-71.6625	2.17
2436	ULQ	SKUL	4.08836	-76.2351	6.86
2437	MQU	SKQU	5.21256	-74.8836	3.98
2438	CUC	SKCC	7.92757	-72.5115	12.98
2439	AXM	SKAR	4.45278	-75.7664	96.87
2440	LPE	SKIM	3.73333	-76.2167	4.86
2441	UIB	SKUI	5.69076	-76.6412	1.06
2442	EBG	SKEB	7.59647	-74.8089	1.73
2443	CLO	SKCL	3.54322	-76.3816	12.44
2444	VUP	SKVP	10.435	-73.2495	3.4
2445	VVC	SKVV	4.16787	-73.6138	14.19
2446	NCI	SKNC	8.45	-76.7833	1.77
2447	LMC	SKNA	2.1736	-73.7862	0.92
2448	NBB	SKBM	3.48333	-69.8	0.5
2449	TLU	SKTL	9.50945	-75.5854	10.4
2450	ORC	SKOE	4.79222	-71.3564	0.95
2451	NAR	SKPN	6.21002	-74.5906	3.32
2452	AYI		-0.383333	-72.2667	0.5
2453	MZL	SKMZ	5.0296	-75.4647	43.6
2454	LPD	SKLP	-1.32861	-69.5797	0.5
2455	TCO	SKCO	1.81442	-78.7492	3.1
2456	GCA		2.28333	-74.95	1.38
2457	PUU	SKAS	0.505228	-76.5008	1.52
2458	SRS		8.69	-75.156	2.97
2459	CIM	SKCM	6.367	-73.967	1.84
2460	EOH	SKMD	6.22055	-75.5906	17.22
2461	SJE	SKSJ	2.57969	-72.6394	0.64
2462	PTX	SKPI	1.85777	-76.0857	2.06
2463	MMP	SKMP	9.79911	-74.786	11.6
2464	OTU	SKOT	7.01037	-74.7155	2.26
2465	API	SKAP	4.07607	-73.5627	1.6
2466	GGL		8.33333	-77.0833	0.87
2467	APO	SKLC	7.81196	-76.7164	1.12
2468	ELB	SKBC	9.04554	-73.9749	3.57
2469	CSC	MRMJ	10.4307	-85.1746	3.42
2470	RFR	MRRF	10.3274	-83.8876	5.13
2471	TTQ	MRBT	10.42	-83.6095	3.46
2472	SJO	MROC	9.99386	-84.2088	3.4
2473	LIO	MRLM	9.95796	-83.022	1.26
2474	LIR	MRLB	10.5933	-85.5444	2.58
2475	XQP	MRQP	9.44316	-84.1298	2.87
2476	PBP	MRIA	9.85611	-85.3708	2.82
2477	LSL	MRLC	11.0353	-84.7061	3.61
2478	JAP	MRCH	9.98141	-84.7727	3.04
2479	GLF	MRGF	8.65401	-83.1822	0.97
2480	UPL	MRUP	10.8922	-85.0162	3.87
2481	GPL	MRGP	10.2172	-83.797	4.08
2482	PLD	MRCR	9.87051	-85.4814	3.0
2483	NCT	MRNC	10.1394	-85.4458	2.94
2484	BAI	MRBA	9.16395	-83.3302	0.7
2485	TMU	MRTR	9.73852	-85.0138	3.57
2486	PMZ	MRPM	8.95103	-83.4686	0.88
2487	OTR	MRCC	8.60156	-82.9686	1.23
2488	PJM	MRPJ	8.53333	-83.3	1.1
2489	TOO	MRSV	8.82611	-82.9589	0.9
2490	TNO	MRTM	10.3135	-85.8155	2.99
2491	SYQ	MRPV	9.95705	-84.1398	3.78
2492	NOB	MRNS	9.97649	-85.653	3.12
2493	BCL	MRBC	10.7687	-83.5856	3.07
2494	DRK	MRDK	8.71889	-83.6417	1.51
2495	FON	MRAN	10.478	-84.6345	5.11
2496	IPZ	MRSI	9.34861	-83.7125	0.67
2497	BWW	MUBR	22.6213	-79.1472	16.0
2498	GER	MUNG	21.8347	-82.7838	10.41
2499	USS	MUSS	21.9704	-79.4427	6.5
2500	BCA	MUBA	20.3653	-74.5062	10.92
2501	CMW	MUCM	21.4203	-77.8475	6.5
2502	NBW	MUGM	19.9065	-75.2071	7.86
2503	SZJ	MUSN	21.6425	-82.9551	9.77
2504	VRO	MUKW	23.124	-81.3016	11.52
2505	MOA	MUMO	20.6539	-74.9222	10.66
2506	UMA		20.2506	-74.1505	10.25
2507	GAO	MUGT	20.0853	-75.1583	8.4
2508	VRA	MUVR	23.0344	-81.4353	12.26
2509	AVI	MUCA	22.0271	-78.7896	10.77
2510	BYM	MUBY	20.3964	-76.6214	10.77
2511	SNU	MUSC	22.4922	-79.9436	10.19
2512	CFG	MUCF	22.15	-80.4142	10.58
2513	LCL	MULM	22.3361	-83.6419	10.82
2514	UPB	MUPB	23.0328	-82.5794	8.37
2515	SNJ	MUSJ	22.0953	-84.152	9.11
2516	CCC	MUCC	22.461	-78.3284	16.61
2517	TND	MUTD	21.7883	-79.9972	5.91
2518	VTU	MUVT	20.9876	-76.9358	10.74
2519	HAV	MUHA	22.9892	-82.4091	10.3
2520	SCU	MUCU	19.9698	-75.8354	10.45
2521	HOG	MUHG	20.7856	-76.3151	11.46
2522	CYO	MUCL	21.6165	-81.546	11.21
2523	MZO	MUMZ	20.2881	-77.0892	10.88
2524	NTO	GVAN	17.2028	-25.0906	480.24
2525	VXE	GVSV	16.8332	-25.0553	399.66
2526	RAI	GVNP	14.9245	-23.4935	828.58
2527	MTI	GVMT	15.045	-24.3392	739.86
2528	BVC	GVBA	16.1365	-22.8889	652.74
2529	BVR	GVBR	14.8643	-24.746	646.23
2530	SID	GVAC	16.7414	-22.9494	528.65
2531	MMO	GVMA	15.1559	-23.2137	898.71
2532	SFL	GVSF	14.885	-24.48	679.51
2533	SNE	GVSN	16.5884	-24.2847	678.14
2534	CUR	TNCC	12.1889	-68.9598	4.46
2535	XCH	YPXM	-10.4506	105.69	1.51
2536	PFO	LCPH	34.718	32.4857	5.54
2537	LCA	LCLK	34.8751	33.6249	4.86
2538	GEC	LCGK	35.2359	33.7244	5.84
2539	ECN	LCEN	35.1547	33.4961	5.21
2540	AKT	LCRA	34.5904	32.9879	3.82
2541	PRV	LKPO	49.4258	17.4047	3.4
2542	JCL	LKCS	48.9464	14.4275	0.72
2543	PED	LKPD	50.0134	15.7386	1.66
2544	UHE	LKKU	49.0294	17.4397	3.01
2545	GTW	LKHO	49.3144	17.5689	3.52
2546	ZBE	LKZA	49.9283	18.0783	1.78
2547	OSR	LKMT	49.6963	18.1111	1.82
2548	PRG	LKPR	50.1008	14.26	1.73
2549	BRQ	LKTB	49.1513	16.6944	1.91
2550	OLO	LKOL	49.5878	17.2108	1.93
2551	VOD	LKVO	50.2166	14.3958	1.44
2552	KLV	LKKV	50.203	12.915	0.89
2553	MKA	LKMR	49.9228	12.7247	1.31
2554	HDF	EDAH	53.8787	14.1523	0.54
2555	AAH	EDKA	50.8231	6.18639	2.79
2556	NRN	EDLV	51.6024	6.14217	0.97
2557	WIE	ETOU	50.0498	8.3254	1.89
2558	DTM	EDLW	51.5183	7.61224	1.47
2559	HEI	EDXB	54.1533	8.90167	1.81
2560	PSH	EDXO	54.3089	8.68694	2.53
2561	TXL	EDDT	52.5597	13.2877	0.71
2562	LBC	EDHL	53.8054	10.7192	1.15
2563	HGL	EDXH	54.1853	7.91583	2.23
2564	HHN	EDFH	49.9487	7.26389	2.19
2565	EIB	EDGE	50.9916	10.4797	0.8
2566	CGN	EDDK	50.8659	7.14274	5.02
2567	FCN	ETMN	53.7677	8.6585	1.13
2568	ERF	EDDE	50.9798	10.9581	0.68
2569	KZG	ETIN	49.7431	10.2006	1.45
2570	NUE	EDDN	49.4987	11.0781	2.07
2571	VAC	EDWU	52.9083	8.04056	1.14
2572	FDH	EDNY	47.6713	9.51149	2.48
2573	SGE	EDGS	50.7077	8.08297	4.41
2574	WVN	EDWI	53.5022	8.05222	1.7
2575	ZQW	EDRZ	49.2094	7.40056	3.1
2576	HOQ	EDQM	50.2886	11.8564	0.79
2577	LHA	EDTL	48.3693	7.82772	2.82
2578	SCN	EDDR	49.2146	7.10951	2.98
2579	LGO	EDWL	53.7425	7.49778	2.54
2580	STR	EDDS	48.6899	9.22196	1.98
2581	XFW	EDHI	53.5353	9.83556	0.89
2582	GHF	EDQG	49.6481	9.96639	1.37
2583	MUC	EDDM	48.3538	11.7861	1.43
2584	OBF	EDMO	48.0814	11.2831	1.71
2585	LEJ	EDDP	51.4239	12.2364	0.62
2586	NOD	EDWS	53.6331	7.19028	2.9
2587	BER	EDDB	52.3514	13.4939	0.65
2588	FEL	ETSF	48.2056	11.2669	1.37
2589	XLW	EDWD	53.1447	8.62444	1.31
2590	NRD	EDWY	53.7069	7.23	2.77
2591	AGB	EDMA	48.4253	10.9317	1.48
2592	BFE	EDLI	51.9647	8.54444	0.75
2593	AGE	EDWG	53.7828	7.91389	1.68
2594	JUI	EDWJ	53.6811	7.05583	2.9
2595	MGL	EDLN	51.2303	6.50444	0.9
2596	OHR	EDXY	54.6844	8.52833	2.22
2597	ZHZ	EDAQ	51.5527	12.054	0.62
2598	FRZ	ETHF	51.1146	9.286	0.9
2599	RMS	ETAR	49.4369	7.60028	2.49
2600	KSF	EDVK	51.4173	9.38497	0.82
2601	FNB	EDBN	53.6022	13.306	0.58
2602	SXF	EDDB	52.38	13.5225	0.65
2603	RLG	ETNL	53.9182	12.2783	0.78
2604	KOQ	EDCK	51.7211	11.9528	0.6
2605	IES	EDAU	51.2936	13.3561	0.77
2606	FRA	EDDF	50.0333	8.57056	2.34
2607	AOC	EDAC	50.9819	12.5064	0.67
2608	URD	EDQE	49.7942	11.1336	1.56
2609	IGS	ETSI	48.7157	11.534	1.85
2610	BMK	EDWR	53.5964	6.70917	3.6
2611	FKB	EDSB	48.7794	8.0805	3.07
2612	BMR	EDWZ	53.7247	7.37333	2.77
2613	PAD	EDLP	51.6141	8.61632	0.84
2614	ILH	ETIK	49.4739	10.3881	1.91
2615	BRE	EDDW	53.0475	8.78667	1.31
2616	REB	EDAX	53.3064	12.7522	0.57
2617	PEF	EDCP	54.1578	13.7744	0.64
2618	BBH	EDBH	54.3383	12.7105	0.98
2619	KEL	EDHK	54.3794	10.1453	1.29
2620	BBJ	EDRB	49.9453	6.565	1.92
2621	BWE	EDVE	52.3192	10.5561	0.66
2622	ESS	EDLE	51.4023	6.93733	0.94
2623	GTI	EDCG	54.3833	13.3256	0.8
2624	DRS	EDDC	51.1328	13.7672	0.77
2625	RBM	EDMS	48.9008	12.5167	1.69
2626	EUM	EDHN	54.0794	9.94139	1.66
2627	CSO	EDBC	51.8564	11.4203	0.59
2628	GUT	ETUO	51.9228	8.30633	0.76
2629	FMO	EDDG	52.1346	7.68483	0.81
2630	FMM	EDJA	47.9888	10.2395	2.28
2631	GKE	ETNG	50.9608	6.04242	2.79
2632	GWT	EDXW	54.9132	8.34047	2.38
2633	BYU	EDQD	49.985	11.64	1.43
2634	FLF	EDXF	54.7733	9.37889	1.52
2635	SZW	EDOP	53.427	11.7834	0.72
2636	MHG	EDFM	49.4731	8.51417	2.09
2637	EME	EDWE	53.3911	7.2275	2.38
2638	SPM	ETAD	49.9727	6.6925	1.87
2639	HAJ	EDDV	52.4611	9.68508	0.68
2640	HAM	EDDH	53.6304	9.98823	1.16
2641	QHU	EDXJ	54.51	9.13833	1.76
2642	WBG	ETNS	54.4593	9.51633	1.41
2643	DUS	EDDL	51.2895	6.76678	1.23
2644	HDB	ETIE	49.3924	8.65193	2.49
2645	BRV	EDWB	53.5069	8.57278	1.3
2646	CBU	EDCD	51.8894	14.5319	0.63
2647	MHI	HDMO	11.7167	43.2	42.84
2648	JIB	HDAM	11.5473	43.1595	35.85
2649	AII	HDAS	11.1469	42.72	13.05
2650	TDJ	HDTJ	11.783	42.917	27.53
2651	OBC	HDOB	11.967	43.267	58.3
2652	MRW	EKMB	54.6993	11.4401	1.24
2653	RNN	EKRN	55.0633	14.7596	0.56
2654	AAL	EKYT	57.0928	9.84924	1.31
2655	SGD	EKSB	54.9644	9.79173	1.78
